loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.5248,0.3943152129650116,0.0001,0.1000699790062981,429,,,,,
1.304,0.45269614458084106,9.697998749076916e-05,0.2001399580125962,858,,,,,
1.2622,0.42624494433403015,8.828476898531309e-05,0.3002099370188943,1287,,,,,
1.2473,0.3461737036705017,7.496473122991066e-05,0.4002799160251924,1716,,,,,
1.2328,0.39574286341667175,5.8628941450351584e-05,0.5003498950314905,2145,,,,,
1.2216,0.37712985277175903,4.125077122593324e-05,0.6004198740377886,2574,,,,,
1.2247,0.3681026101112366,2.492951221526705e-05,0.7004898530440867,3003,,,,,
1.2122,0.4038839638233185,1.1636780673497349e-05,0.8005598320503848,3432,,,,,
1.2063,0.4536415636539459,2.9783452221438303e-06,0.900629811056683,3861,,,,,
,,,1.0,4287,30800.9247,2.227,0.139,1.8995305282821734e+18,1.2634280262389381
