loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.483,0.4944794178009033,9.932006875689957e-05,0.1000699790062981,429,,,,,
1.2811,0.310848206281662,9.397272121188003e-05,0.2001399580125962,858,,,,,
1.2582,0.33101916313171387,8.385212691968368e-05,0.3002099370188943,1287,,,,,
1.243,0.3652448058128357,7.005687819967033e-05,0.4002799160251924,1716,,,,,
1.2437,0.3272845447063446,5.4084451766142344e-05,0.5003498950314905,2145,,,,,
1.2326,0.34375298023223877,3.766865736334999e-05,0.6004198740377886,2574,,,,,
1.2098,0.3261669874191284,2.25914324078542e-05,0.7004898530440867,3003,,,,,
1.2088,0.4411735236644745,1.0489412363457712e-05,0.8005598320503848,3432,,,,,
1.1996,0.4670884907245636,2.6762736690791546e-06,0.900629811056683,3861,,,,,
,,,1.0,4287,30986.9265,2.213,0.138,1.8923144699694612e+18,1.25579413273186
