loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.325,0.4973558187484741,0.0001,0.1000699790062981,429,,,,,
1.177,0.47967058420181274,9.697998749076916e-05,0.2001399580125962,858,,,,,
1.1576,0.48752230405807495,8.828476898531309e-05,0.3002099370188943,1287,,,,,
1.1171,0.5674378871917725,7.496473122991066e-05,0.4002799160251924,1716,,,,,
1.1095,0.47430169582366943,5.8628941450351584e-05,0.5003498950314905,2145,,,,,
1.0931,0.5441535115242004,4.125077122593324e-05,0.6004198740377886,2574,,,,,
1.0848,0.4983619749546051,2.492951221526705e-05,0.7004898530440867,3003,,,,,
1.0786,0.5657759308815002,1.1636780673497349e-05,0.8005598320503848,3432,,,,,
1.0788,0.5300143361091614,2.9783452221438303e-06,0.900629811056683,3861,,,,,
,,,1.0,4287,37676.2016,1.82,0.114,2.3643587893943255e+18,1.129363835706059
