loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.238,0.11931901425123215,9.932006875689957e-05,0.1000699790062981,429,,,,,
1.4583,0.11496894806623459,9.397272121188003e-05,0.2001399580125962,858,,,,,
1.3971,0.13526922464370728,8.385212691968368e-05,0.3002099370188943,1287,,,,,
1.3562,0.161944180727005,7.005687819967033e-05,0.4002799160251924,1716,,,,,
1.3427,0.19883112609386444,5.4084451766142344e-05,0.5003498950314905,2145,,,,,
1.3245,0.19387750327587128,3.766865736334999e-05,0.6004198740377886,2574,,,,,
1.3025,0.16889329254627228,2.25914324078542e-05,0.7004898530440867,3003,,,,,
1.3002,0.19965976476669312,1.0489412363457712e-05,0.8005598320503848,3432,,,,,
1.2906,0.25216013193130493,2.6762736690791546e-06,0.900629811056683,3861,,,,,
,,,1.0,4287,32972.3854,2.08,0.13,1.8975743087832737e+18,1.5300369849982505
