step,training_loss,epoch,elapsed_time,lr_param_group_0
0,1.6359773874282837,1.0001166316771635,9.215096473693848,4.005203767033154e-06
1,2.0432159900665283,3.0001166316771637,15.512695550918579,4.020813939832951e-06
2,2.054811716079712,5.000116631677163,22.339948654174805,4.046827133745131e-06
3,1.992527961730957,7.000116631677163,31.26734972000122,4.083237708494647e-06
4,1.8435192108154297,9.000116631677164,40.171687841415405,4.130037769408643e-06
5,1.6969808340072632,11.000116631677164,48.22584533691406,4.187217169128213e-06
6,1.9686613082885742,13.000116631677164,56.59766960144043,4.254763509808549e-06
7,1.822510004043579,15.000116631677164,67.0871057510376,4.332662145807096e-06
8,1.923485517501831,17.000116631677162,72.63617277145386,4.420896186859127e-06
9,1.6913373470306396,19.000116631677162,78.75819802284241,4.519446501739894e-06
10,1.8005340099334717,21.000116631677162,86.75558638572693,4.6282917224127164e-06
11,1.6393933296203613,23.000116631677162,95.83127975463867,4.747408248662158e-06
12,1.927317500114441,25.000116631677162,104.36572813987732,4.876770253211038e-06
13,1.9177744388580322,27.000116631677162,111.33007216453552,5.0163496873203945e-06
14,1.7569379806518555,29.000116631677162,119.259348154068,5.1661162868711755e-06
15,1.961742639541626,31.000116631677162,127.77527141571045,5.326037578926146e-06
16,1.6995388269424438,33.000116631677166,136.58341360092163,5.496078888770844e-06
17,1.7837187051773071,35.000116631677166,145.57004642486572,5.676203347431793e-06
18,1.9063496589660645,37.000116631677166,152.82416152954102,5.866371899670701e-06
19,1.9819025993347168,39.000116631677166,160.1731321811676,6.0665433124524476e-06
20,2.059640884399414,41.000116631677166,166.8446385860443,6.276674183885387e-06
21,1.9821619987487793,43.000116631677166,177.31951189041138,6.496718952632007e-06
22,1.8264760971069336,45.000116631677166,185.27477192878723,6.7266299077875275e-06
23,1.7939000129699707,47.000116631677166,193.59541058540344,6.966357199224952e-06
24,1.8905117511749268,49.000116631677166,200.89692759513855,7.2158488484036e-06
25,1.6967090368270874,51.000116631677166,209.59547328948975,7.475050759639309e-06
26,1.6884280443191528,53.000116631677166,218.16661977767944,7.743906731833765e-06
27,1.8340568542480469,55.000116631677166,225.90114092826843,8.022358470660083e-06
28,1.6676008701324463,57.000116631677166,234.90949130058289,8.310345601202475e-06
29,1.6061487197875977,59.000116631677166,244.46390581130981,8.60780568104695e-06
30,1.864785075187683,61.000116631677166,250.67736434936523,8.914674213820301e-06
31,1.5636875629425049,63.000116631677166,258.95425033569336,9.230884663174413e-06
32,1.691493034362793,65.00011663167716,265.0702061653137,9.556368467212973e-06
33,1.7367743253707886,67.00011663167716,272.6394772529602,9.89105505335725e-06
34,1.5726925134658813,69.00011663167716,281.7311944961548,1.023487185364795e-05
35,1.8850679397583008,71.00011663167716,289.57178711891174,1.0587744320479599e-05
36,1.7905638217926025,73.00011663167716,300.04650926589966,1.0949595942764327e-05
37,1.753392219543457,75.00011663167716,309.1043920516968,1.1320348262521137e-05
38,1.737553358078003,77.00011663167716,315.5897173881531,1.1699920891887564e-05
39,1.6896107196807861,79.00011663167716,322.4791295528412,1.2088231530549693e-05
40,1.7310194969177246,81.00011663167716,332.6849114894867,1.2485195983586632e-05
41,1.8899133205413818,83.00011663167716,337.9186170101166,1.289072817972616e-05
42,1.7032902240753174,85.00011663167716,348.36657905578613,1.3304740190006869e-05
43,1.7076706886291504,87.00011663167716,356.91646933555603,1.3727142246843345e-05
44,1.7930643558502197,89.00011663167716,365.13780975341797,1.415784276348982e-05
45,2.1035349369049072,91.00011663167716,371.26104950904846,1.4596748353898416e-05
46,1.715797781944275,93.00011663167716,378.4588475227356,1.5043763852967354e-05
47,1.7506930828094482,95.00011663167716,387.9599769115448,1.5498792337175084e-05
48,1.8236652612686157,97.00011663167716,393.0188829898834,1.5961735145595567e-05
49,1.7263963222503662,99.00011663167716,401.43164348602295,1.6432491901290257e-05
50,1.892764687538147,101.00011663167716,409.66028785705566,1.6910960533072242e-05
51,1.9046396017074585,103.00011663167716,418.17685103416443,1.7397037297637685e-05
52,1.5716032981872559,105.00011663167716,425.31075978279114,1.789061680205978e-05
53,1.8604042530059814,107.00011663167716,432.6469089984894,1.8391592026640474e-05
54,1.8270857334136963,109.00011663167716,441.660080909729,1.8899854348114847e-05
55,1.9203882217407227,111.00011663167716,449.2780249118805,1.941529356320321e-05
56,1.5130386352539062,113.00011663167716,457.80095744132996,1.9937797912505757e-05
57,1.6539897918701172,115.00011663167716,468.29093289375305,2.0467254104734683e-05
58,1.7713408470153809,117.00011663167716,477.61752343177795,2.1003547341278355e-05
59,1.9644725322723389,119.00011663167716,485.76010751724243,2.1546561341092465e-05
60,1.817199945449829,121.00011663167716,496.26017355918884,2.2096178365912372e-05
61,1.6924362182617188,123.00011663167716,504.210417509079,2.265227924578162e-05
62,1.7716503143310547,125.00011663167716,509.83898520469666,2.3214743404890826e-05
63,1.6817528009414673,127.00011663167716,519.6969292163849,2.378344888772129e-05
64,1.8331899642944336,129.00011663167717,525.8828995227814,2.435827238548789e-05
65,1.6024904251098633,131.00011663167717,535.2393453121185,2.4939089262875303e-05
66,1.6416304111480713,133.00011663167717,543.5791838169098,2.5525773585061918e-05
67,1.7032593488693237,135.00011663167717,553.0789623260498,2.611819814502545e-05
68,1.4720957279205322,137.00011663167717,563.5906467437744,2.6716234491124455e-05
69,1.7851240634918213,139.00011663167717,572.2751278877258,2.7319752954949652e-05
70,1.6172749996185303,141.00011663167717,581.2575566768646,2.792862267943916e-05
71,1.8749600648880005,143.00011663167717,589.024352312088,2.8542711647251272e-05
72,1.8275165557861328,145.00011663167717,596.3160252571106,2.9161886709389115e-05
73,1.8046693801879883,147.00011663167717,603.9545571804047,2.9786013614070336e-05
74,1.8644945621490479,149.00011663167717,610.8603537082672,3.0414957035836116e-05
75,1.67281174659729,151.00011663167717,619.7747418880463,3.1048580604893e-05
76,1.863825798034668,153.00011663167717,629.1831595897675,3.1686746936680944e-05
77,1.624389886856079,155.00011663167717,639.6525039672852,3.232931766166167e-05
78,1.7488183975219727,157.00011663167717,647.8881220817566,3.297615345532041e-05
79,1.5133659839630127,159.00011663167717,656.0304975509644,3.3627114068374655e-05
80,1.8591184616088867,161.00011663167717,665.0571014881134,3.4282058357183704e-05
81,1.7307109832763672,163.00011663167717,674.4765148162842,3.494084431435175e-05
82,1.6423509120941162,165.00011663167717,683.1547677516937,3.5603329099518556e-05
83,1.5347826480865479,167.00011663167717,692.289656162262,3.6269369070330586e-05
84,1.5941500663757324,169.00011663167717,697.8219842910767,3.6938819813586027e-05
85,1.6254017353057861,171.00011663167717,707.0015571117401,3.761153617654708e-05
86,1.7115832567214966,173.00011663167717,713.8261318206787,3.828737229841239e-05
87,1.6665596961975098,175.00011663167717,722.5010898113251,3.896618164194317e-05
88,1.6473110914230347,177.00011663167717,730.6466627120972,3.9647817025235934e-05
89,1.6368699073791504,179.00011663167717,736.4827542304993,4.033213065363502e-05
90,1.7321138381958008,181.00011663167717,743.5609865188599,4.101897415177792e-05
91,1.5928714275360107,183.00011663167717,753.8118410110474,4.170819859576661e-05
92,1.4256222248077393,185.00011663167717,762.0396506786346,4.2399654545457763e-05
93,1.6810775995254517,187.00011663167717,771.5665204524994,4.309319207686488e-05
94,1.6468560695648193,189.00011663167717,781.5372648239136,4.378866081466537e-05
95,1.5725674629211426,191.00011663167717,791.8683047294617,4.4485909964805484e-05
96,1.469653844833374,193.00011663167717,802.3465957641602,4.518478834719596e-05
97,1.5484108924865723,195.00011663167717,812.8293886184692,4.5885144428491565e-05
98,1.553715467453003,197.00011663167717,820.7343552112579,4.658682635494699e-05
99,1.5522478818893433,199.00011663167717,829.4392795562744,4.7289681985342345e-05
100,1.6190226078033447,201.00011663167717,837.6609196662903,4.799355892397106e-05
101,1.4573891162872314,203.00011663167717,848.1162116527557,4.869830455368275e-05
102,1.6462900638580322,205.00011663167717,854.4977478981018,4.940376606897433e-05
103,1.6095727682113647,207.00011663167717,862.4792447090149,5.0109790509121776e-05
104,1.2752777338027954,209.00011663167717,872.0889415740967,5.081622479134563e-05
105,1.432480812072754,211.00011663167717,882.5492327213287,5.152291574400305e-05
106,1.705946922302246,213.00011663167717,888.7281646728516,5.222971013979895e-05
107,1.6172388792037964,215.00011663167717,895.5890414714813,5.293645472900932e-05
108,1.652692437171936,217.00011663167717,901.8195042610168,5.364299627270941e-05
109,1.562340497970581,219.00011663167717,911.3312795162201,5.434918157599952e-05
110,1.4837805032730103,221.00011663167717,920.161682844162,5.5054857521221286e-05
111,1.6395174264907837,223.00011663167717,928.593204498291,5.575987110115723e-05
112,1.3517333269119263,225.00011663167717,938.2041373252869,5.64640694522063e-05
113,1.3862195014953613,227.00011663167717,944.1690835952759,5.716729988752832e-05
114,1.348092794418335,229.00011663167717,954.5735974311829,5.7869409930150125e-05
115,1.560537576675415,231.00011663167717,964.5441839694977,5.8570247346026165e-05
116,1.5360438823699951,233.00011663167717,973.343631029129,5.926966017704641e-05
117,1.5970832109451294,235.00011663167717,979.7818510532379,5.996749677398452e-05
118,1.5868008136749268,237.00011663167717,987.8627533912659,6.0663605829378904e-05
119,1.64436674118042,239.00011663167717,994.7481420040131,6.135783641033984e-05
120,1.6567647457122803,241.00011663167717,1004.4904272556305,6.205003799127518e-05
121,1.339922547340393,243.00011663167717,1014.2802877426147,6.2740060486528e-05
122,1.499037504196167,245.00011663167717,1022.9361388683319,6.342775428291858e-05
123,1.3950965404510498,247.00011663167717,1030.1654932498932,6.411297027218416e-05
124,1.1725032329559326,249.00011663167717,1039.9585745334625,6.479555988330905e-05
125,1.5649899244308472,251.00011663167717,1047.8655798435211,6.547537511473848e-05
126,1.5045781135559082,253.00011663167717,1055.4107398986816,6.615226856646868e-05
127,1.6396429538726807,255.00011663167717,1062.5914237499237,6.682609347200679e-05
128,1.3258360624313354,257.00011663167714,1071.1592283248901,6.749670373019324e-05
129,1.278874397277832,259.00011663167714,1079.724083662033,6.816395393687992e-05
130,1.5185703039169312,261.00011663167714,1088.8341221809387,6.882769941645739e-05
131,1.188180685043335,263.00011663167714,1095.1179625988007,6.948779625322371e-05
132,1.5952125787734985,265.00011663167714,1103.6607403755188,7.0144101322589e-05
133,1.3580865859985352,267.00011663167714,1111.481630563736,7.07964723221081e-05
134,1.3893263339996338,269.00011663167714,1120.55433011055,7.144476780233515e-05
135,1.3908226490020752,271.00011663167714,1127.237538576126,7.208884719749314e-05
136,1.4973437786102295,273.00011663167714,1136.403258562088,7.272857085595199e-05
137,1.3208826780319214,275.00011663167714,1144.6135413646698,7.33638000705081e-05
138,1.6122286319732666,277.00011663167714,1154.4648923873901,7.399439710845969e-05
139,1.6560473442077637,279.00011663167714,1161.6864848136902,7.462022524147016e-05
140,1.2995779514312744,281.00011663167714,1168.468239068985,7.52411487752142e-05
141,1.1071226596832275,283.00011663167714,1174.57208943367,7.585703307879954e-05
142,1.4010906219482422,285.00011663167714,1184.9156448841095,7.646774461395803e-05
143,1.2477772235870361,287.00011663167714,1193.1530842781067,7.707315096399997e-05
144,1.4638166427612305,289.00011663167714,1203.6437306404114,7.76731208625251e-05
145,1.5104578733444214,291.00011663167714,1214.111539363861,7.826752422188429e-05
146,1.3498555421829224,293.00011663167714,1224.174527645111,7.885623216138563e-05
147,1.47629714012146,295.00011663167714,1232.388192653656,7.943911703523881e-05
148,1.4463467597961426,297.00011663167714,1241.2675848007202,8.001605246023172e-05
149,1.373000144958496,299.00011663167714,1248.480319738388,8.05869133431333e-05
150,1.4521842002868652,301.00011663167714,1254.9094705581665,8.11515759078168e-05
151,1.2623445987701416,303.00011663167714,1262.7180202007294,8.170991772209725e-05
152,1.432021141052246,305.00011663167714,1271.8960905075073,8.22618177242777e-05
153,1.6684191226959229,307.00011663167714,1279.4444847106934,8.280715624939828e-05
154,1.4026591777801514,309.00011663167714,1287.6927163600922,8.334581505518239e-05
155,1.3792815208435059,311.00011663167714,1294.2242987155914,8.387767734767437e-05
156,1.3436689376831055,313.00011663167714,1303.1156985759735,8.440262780656322e-05
157,1.4641472101211548,315.00011663167714,1311.9826183319092,8.492055261018676e-05
158,1.3812227249145508,317.00011663167714,1320.2234184741974,8.543133946021089e-05
159,1.2643091678619385,319.00011663167714,1327.2979724407196,8.593487760597848e-05
160,1.438827395439148,321.00011663167714,1336.4456424713135,8.643105786852276e-05
161,1.2436015605926514,323.00011663167714,1344.8593940734863,8.691977266423983e-05
162,1.2490514516830444,325.00011663167714,1352.6084117889404,8.740091602821545e-05
163,1.344440221786499,327.00011663167714,1361.653725862503,8.787438363720061e-05
164,1.6347570419311523,329.00011663167714,1370.019091129303,8.834007283223136e-05
165,1.1870055198669434,331.00011663167714,1378.3978524208069,8.879788264088769e-05
166,1.2354211807250977,333.00011663167714,1385.3852519989014,8.924771379918668e-05
167,1.0957478284835815,335.00011663167714,1392.7753114700317,8.968946877310532e-05
168,1.3554301261901855,337.00011663167714,1401.7596054077148,9.012305177972819e-05
169,1.2419012784957886,339.00011663167714,1411.6478235721588,9.054836880801547e-05
170,1.2273809909820557,341.00011663167714,1418.3875622749329,9.096532763918672e-05
171,1.2416006326675415,343.00011663167714,1426.1729063987732,9.13738378667161e-05
172,1.3424317836761475,345.00011663167714,1435.1365175247192,9.17738109159347e-05
173,1.2476611137390137,347.00011663167714,1443.5923340320587,9.216516006323552e-05
174,1.3371483087539673,349.00011663167714,1452.7546060085297,9.254780045487722e-05
175,1.3200688362121582,351.00011663167714,1461.3364944458008,9.292164912538254e-05
176,1.2980446815490723,353.00011663167714,1471.815104484558,9.328662501552698e-05
177,1.4696863889694214,355.00011663167714,1480.3929507732391,9.364264898991454e-05
178,1.4616491794586182,357.00011663167714,1489.4727849960327,9.398964385413598e-05
179,1.2511013746261597,359.00011663167714,1497.3738267421722,9.432753437150651e-05
180,1.2335922718048096,361.00011663167714,1504.5431733131409,9.465624727937885e-05
181,1.3944774866104126,363.00011663167714,1513.6192963123322,9.497571130502827e-05
182,1.3356022834777832,365.00011663167714,1521.709062576294,9.528585718110621e-05
183,1.5067431926727295,367.00011663167714,1532.2035717964172,9.558661766065915e-05
