loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.9378,0.1324855089187622,9.932006875689957e-05,0.1000699790062981,429,,,,,
1.2725,0.15270408987998962,9.397272121188003e-05,0.2001399580125962,858,,,,,
1.219,0.150530144572258,8.385212691968368e-05,0.3002099370188943,1287,,,,,
1.1993,0.18323934078216553,7.005687819967033e-05,0.4002799160251924,1716,,,,,
1.1653,0.15959100425243378,5.4084451766142344e-05,0.5003498950314905,2145,,,,,
1.164,0.18813613057136536,3.766865736334999e-05,0.6004198740377886,2574,,,,,
1.1618,0.19204720854759216,2.25914324078542e-05,0.7004898530440867,3003,,,,,
1.1597,0.18523895740509033,1.0489412363457712e-05,0.8005598320503848,3432,,,,,
1.1517,0.18854348361492157,2.6762736690791546e-06,0.900629811056683,3861,,,,,
,,,1.0,4287,40227.8129,1.705,0.107,2.361897768542257e+18,1.3586315513630416
