loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.2718,1.3256840705871582,0.02,0.1000699790062981,429,,,,,
1.1608,1.207505464553833,0.02,0.2001399580125962,858,,,,,
1.1361,0.8853302597999573,0.02,0.3002099370188943,1287,,,,,
1.117,0.8644983172416687,0.02,0.4002799160251924,1716,,,,,
1.1035,1.112398386001587,0.02,0.5003498950314905,2145,,,,,
1.0948,0.811935305595398,0.02,0.6004198740377886,2574,,,,,
1.0926,1.1255136728286743,0.02,0.7004898530440867,3003,,,,,
1.0765,1.055246353149414,0.02,0.8005598320503848,3432,,,,,
1.0772,1.2288874387741089,0.02,0.900629811056683,3861,,,,,
,,,1.0,4287,37402.418,1.834,0.115,2.340074893499471e+18,1.1196784590518027
