$W_{q}$,$W_{k}$,$W_{v}$,$W_o$,$W_{gate}$,$W_{up}$,$W_{down}$,step,layer
16,16,16,16,17,17,16,428,0
16,16,16,16,17,17,14,428,1
16,16,16,16,17,17,16,428,2
16,16,16,16,17,16,16,428,3
16,16,13,16,17,16,16,428,4
16,16,16,16,17,16,16,428,5
16,15,16,16,17,16,16,428,6
16,16,16,16,17,16,16,428,7
16,16,15,16,16,16,16,428,8
16,16,15,16,17,16,16,428,9
16,16,16,16,16,16,16,428,10
16,16,14,16,17,17,16,428,11
16,16,13,16,16,16,16,428,12
15,16,16,16,17,16,16,428,13
16,16,14,16,16,16,16,428,14
16,16,16,16,17,16,16,428,15
16,16,15,16,16,16,16,428,16
16,16,14,16,17,16,16,428,17
16,16,15,16,17,16,16,428,18
16,16,16,16,16,16,16,428,19
16,16,16,16,17,16,16,428,20
16,16,15,16,16,16,16,428,21
16,16,15,16,17,16,16,428,22
16,16,14,16,17,16,16,428,23
16,16,12,17,17,16,16,428,24
16,16,15,17,17,16,16,428,25
16,16,16,17,17,16,16,428,26
16,16,16,17,17,16,16,428,27
16,16,16,16,16,16,16,428,28
15,16,16,16,16,16,16,428,29
16,16,16,17,16,16,16,428,30
16,16,16,16,16,16,16,428,31
17,17,11,15,18,16,14,856,0
16,13,16,17,18,17,7,856,1
14,14,13,17,17,18,17,856,2
17,14,12,17,18,17,17,856,3
17,14,13,17,18,17,17,856,4
14,15,13,17,18,17,17,856,5
17,13,9,17,18,17,17,856,6
16,17,14,17,18,17,17,856,7
16,14,11,17,17,17,17,856,8
17,14,12,17,18,17,17,856,9
17,15,15,16,17,17,17,856,10
17,15,11,17,18,18,17,856,11
15,15,9,16,17,17,17,856,12
15,15,16,15,18,17,17,856,13
16,16,6,15,17,17,17,856,14
14,16,7,15,18,17,17,856,15
17,15,10,17,17,17,17,856,16
15,15,10,17,18,17,17,856,17
15,16,12,17,18,17,17,856,18
14,14,14,17,17,17,17,856,19
17,15,15,17,18,17,17,856,20
17,15,11,17,17,17,17,856,21
17,17,10,17,18,17,17,856,22
15,17,15,17,18,17,17,856,23
17,17,13,18,18,17,17,856,24
17,17,16,18,18,17,17,856,25
17,17,16,18,18,17,17,856,26
17,17,9,18,18,17,17,856,27
16,17,16,17,17,17,17,856,28
15,14,14,17,17,17,17,856,29
17,17,15,18,17,17,17,856,30
17,17,15,17,17,16,15,856,31
16,18,9,16,17,17,9,1284,0
15,14,13,18,19,16,4,1284,1
13,11,14,18,18,19,18,1284,2
16,14,9,18,19,18,18,1284,3
17,12,11,18,19,18,18,1284,4
13,11,11,18,19,18,18,1284,5
16,10,10,18,19,18,18,1284,6
14,16,13,16,19,18,18,1284,7
15,13,6,18,18,18,18,1284,8
18,13,10,18,17,18,18,1284,9
16,13,11,15,18,18,18,1284,10
18,16,10,18,19,17,18,1284,11
13,16,7,17,18,18,18,1284,12
12,14,11,16,19,18,18,1284,13
15,13,7,16,18,18,18,1284,14
13,14,8,14,19,18,18,1284,15
16,11,9,18,16,18,18,1284,16
13,14,8,18,19,18,18,1284,17
16,14,11,16,19,18,18,1284,18
15,13,12,18,18,18,18,1284,19
16,14,12,18,19,18,18,1284,20
18,13,9,18,18,18,16,1284,21
18,18,9,18,19,18,18,1284,22
16,15,16,18,19,18,18,1284,23
18,16,11,19,19,18,18,1284,24
18,16,13,19,19,18,18,1284,25
18,18,14,19,19,18,16,1284,26
18,15,7,19,19,18,18,1284,27
14,18,16,18,18,18,18,1284,28
13,12,15,18,18,18,18,1284,29
18,16,14,19,18,18,18,1284,30
16,18,16,18,18,17,16,1284,31
17,17,10,17,18,16,9,1712,0
15,13,14,17,20,17,3,1712,1
12,10,12,19,19,20,19,1712,2
14,15,9,19,20,19,18,1712,3
16,11,10,18,20,19,18,1712,4
12,11,10,18,20,19,19,1712,5
14,9,9,17,20,17,19,1712,6
14,15,13,17,20,17,17,1712,7
14,10,7,19,19,17,18,1712,8
18,12,8,17,16,19,19,1712,9
14,12,8,14,19,17,19,1712,10
16,15,9,18,17,18,19,1712,11
10,15,5,16,19,18,19,1712,12
10,12,9,13,20,19,19,1712,13
14,12,6,14,17,19,19,1712,14
14,11,7,15,20,16,19,1712,15
15,10,10,17,17,19,19,1712,16
11,12,9,16,20,19,17,1712,17
14,12,10,17,20,19,17,1712,18
14,12,13,19,18,18,19,1712,19
16,11,11,18,20,19,19,1712,20
19,13,10,19,19,19,17,1712,21
19,19,7,19,18,19,19,1712,22
16,15,17,19,19,19,19,1712,23
19,17,12,20,20,19,19,1712,24
19,17,14,20,20,19,19,1712,25
19,19,14,20,20,19,15,1712,26
19,13,7,20,20,19,18,1712,27
15,17,15,17,19,18,19,1712,28
12,13,16,19,19,17,19,1712,29
19,15,14,20,19,18,19,1712,30
16,19,15,19,18,16,17,1712,31
18,18,8,16,20,18,8,2140,0
14,11,10,16,21,16,2,2140,1
13,9,11,17,21,21,20,2140,2
9,11,8,18,21,20,19,2140,3
13,10,11,17,21,18,19,2140,4
11,10,8,19,22,20,20,2140,5
12,6,8,18,21,16,20,2140,6
13,16,14,16,21,19,16,2140,7
13,9,5,18,21,19,19,2140,8
16,11,5,16,18,20,20,2140,9
13,13,7,15,18,18,20,2140,10
17,14,8,19,19,19,20,2140,11
9,16,4,17,18,19,17,2140,12
9,13,10,11,21,20,20,2140,13
13,11,7,13,19,20,20,2140,14
15,10,4,16,21,17,20,2140,15
13,11,9,16,18,20,20,2140,16
10,13,6,17,21,20,18,2140,17
15,11,11,18,21,17,18,2140,18
12,13,10,18,19,19,18,2140,19
17,10,10,19,21,18,18,2140,20
18,11,9,18,20,20,18,2140,21
18,20,8,18,20,20,18,2140,22
17,12,14,20,21,20,20,2140,23
20,18,13,22,21,20,20,2140,24
20,18,11,19,21,18,20,2140,25
18,18,15,21,21,20,16,2140,26
20,14,8,19,21,20,19,2140,27
13,15,14,18,21,17,20,2140,28
9,14,17,20,20,16,20,2140,29
20,16,15,21,20,17,20,2140,30
14,18,14,18,19,17,16,2140,31
19,19,7,17,21,19,9,2568,0
13,10,8,17,22,17,3,2568,1
12,10,10,18,22,22,18,2568,2
7,9,7,19,19,21,20,2568,3
14,8,9,18,20,19,20,2568,4
8,11,7,20,23,19,19,2568,5
12,5,7,19,20,17,20,2568,6
12,12,9,16,20,18,16,2568,7
14,10,4,19,22,18,18,2568,8
16,10,6,13,19,21,19,2568,9
12,14,6,16,19,19,20,2568,10
16,13,9,20,18,20,21,2568,11
8,13,3,18,19,20,18,2568,12
8,12,9,12,20,19,21,2568,13
12,10,6,12,20,19,19,2568,14
14,11,3,15,22,18,18,2568,15
12,12,8,17,19,21,21,2568,16
11,12,6,18,20,19,19,2568,17
16,12,10,15,20,18,19,2568,18
12,14,11,17,20,20,17,2568,19
17,9,11,17,22,19,19,2568,20
19,12,10,19,19,21,17,2568,21
17,18,9,19,19,21,16,2568,22
14,13,13,21,22,19,17,2568,23
21,19,12,23,20,21,21,2568,24
21,17,11,20,20,19,21,2568,25
19,19,16,22,22,19,17,2568,26
21,15,9,20,22,21,20,2568,27
12,12,15,19,22,18,21,2568,28
8,13,16,21,21,17,21,2568,29
21,15,16,22,21,18,19,2568,30
15,17,15,19,20,18,15,2568,31
17,18,6,18,22,20,10,2996,0
12,9,9,16,21,18,4,2996,1
13,10,11,19,23,21,19,2996,2
7,10,5,20,20,22,18,2996,3
12,9,7,19,19,19,20,2996,4
9,12,7,20,24,18,20,2996,5
11,3,8,18,21,18,19,2996,6
11,11,8,15,21,19,17,2996,7
13,11,4,19,21,18,17,2996,8
14,11,5,14,18,21,19,2996,9
11,15,7,15,19,20,18,2996,10
14,13,7,19,18,21,21,2996,11
6,13,4,16,20,21,17,2996,12
7,10,7,13,20,18,21,2996,13
13,11,7,12,20,19,19,2996,14
13,12,4,16,23,16,19,2996,15
13,11,8,18,20,20,22,2996,16
9,12,5,17,21,19,18,2996,17
15,11,11,14,21,17,20,2996,18
11,15,11,18,21,21,18,2996,19
16,8,10,17,23,19,20,2996,20
18,12,9,20,20,22,16,2996,21
15,17,8,20,20,22,17,2996,22
12,13,14,21,23,20,17,2996,23
22,20,11,23,21,20,22,2996,24
22,18,9,21,21,20,20,2996,25
20,18,15,21,23,20,17,2996,26
19,14,10,19,23,20,21,2996,27
12,13,16,19,22,19,22,2996,28
9,12,14,22,22,18,21,2996,29
22,13,15,22,22,19,20,2996,30
14,17,16,20,21,17,16,2996,31
17,19,4,18,21,20,9,3424,0
9,6,6,14,22,17,2,3424,1
12,9,11,20,24,21,18,3424,2
8,8,4,18,21,22,16,3424,3
12,10,8,20,20,20,19,3424,4
8,10,8,21,25,19,19,3424,5
10,2,9,19,20,16,20,3424,6
10,10,9,16,22,18,18,3424,7
13,10,5,20,20,19,18,3424,8
14,10,4,13,19,22,20,3424,9
10,15,7,13,20,20,19,3424,10
14,13,8,19,19,20,20,3424,11
7,11,3,15,21,19,18,3424,12
6,9,5,13,21,19,20,3424,13
14,12,8,13,21,20,19,3424,14
13,13,3,17,23,17,20,3424,15
13,12,8,19,21,21,22,3424,16
10,12,6,16,22,20,19,3424,17
14,9,10,15,22,18,21,3424,18
