loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.2458,1.275863528251648,0.02,0.1000699790062981,429,,,,,
1.1438,1.1015160083770752,0.02,0.2001399580125962,858,,,,,
1.1361,1.165671944618225,0.02,0.3002099370188943,1287,,,,,
1.1314,0.7994396090507507,0.02,0.4002799160251924,1716,,,,,
1.1118,0.896517276763916,0.02,0.5003498950314905,2145,,,,,
1.0974,0.8442075252532959,0.02,0.6004198740377886,2574,,,,,
1.0825,0.9193268418312073,0.02,0.7004898530440867,3003,,,,,
1.0664,1.1753991842269897,0.02,0.8005598320503848,3432,,,,,
1.0773,1.1671308279037476,0.02,0.900629811056683,3861,,,,,
,,,1.0,4287,37957.6273,1.807,0.113,2.3528313068792463e+18,1.1168611320493826
