loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.5357,0.16834135353565216,9.931706240213779e-05,0.1000699790062981,858,,,,,
1.4006,0.20580817759037018,9.396498888279344e-05,0.2001399580125962,1716,,,,,
1.3412,0.19973993301391602,8.384166903780279e-05,0.3002099370188943,2574,,,,,
1.3156,0.19259795546531677,7.004572369799378e-05,0.4002799160251924,3432,,,,,
1.2976,0.2090049535036087,5.4074340857359974e-05,0.5003498950314905,4290,,,,,
1.2995,0.4255492389202118,3.766079518809602e-05,0.6004198740377886,5148,,,,,
1.272,0.2472279667854309,2.258634653935322e-05,0.7004898530440867,6006,,,,,
1.2759,0.2445109337568283,1.0486930903705094e-05,0.8005598320503848,6864,,,,,
1.2594,0.31313660740852356,2.6756224763471506e-06,0.900629811056683,7722,,,,,
,,,1.0,8574,32941.5316,2.082,0.26,1.8826534066867026e+18,1.4274717544046682
