loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.4188,1.0528299808502197,0.02,0.1000699790062981,429,,,,,
1.2815,0.7773688435554504,0.02,0.2001399580125962,858,,,,,
1.2503,0.7592360377311707,0.02,0.3002099370188943,1287,,,,,
1.2348,0.6917018294334412,0.02,0.4002799160251924,1716,,,,,
1.2203,0.7714243531227112,0.02,0.5003498950314905,2145,,,,,
1.2161,0.7556719779968262,0.02,0.6004198740377886,2574,,,,,
1.1875,0.9024134874343872,0.02,0.7004898530440867,3003,,,,,
1.1825,0.793365478515625,0.02,0.8005598320503848,3432,,,,,
1.1801,0.7874631881713867,0.02,0.900629811056683,3861,,,,,
,,,1.0,4287,31234.9529,2.196,0.137,1.9015725820453325e+18,1.236071156598984
