loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.205,0.12234349548816681,0.0001,0.1000699790062981,429,,,,,
1.2964,0.1585816740989685,9.697998749076916e-05,0.2001399580125962,858,,,,,
1.2363,0.17447145283222198,8.828476898531309e-05,0.3002099370188943,1287,,,,,
1.1866,0.2270924150943756,7.496473122991066e-05,0.4002799160251924,1716,,,,,
1.1773,0.17088539898395538,5.8628941450351584e-05,0.5003498950314905,2145,,,,,
1.1604,0.23818260431289673,4.125077122593324e-05,0.6004198740377886,2574,,,,,
1.1535,0.21928781270980835,2.492951221526705e-05,0.7004898530440867,3003,,,,,
1.1487,0.1963265836238861,1.1636780673497349e-05,0.8005598320503848,3432,,,,,
1.153,0.22340041399002075,2.9783452221438303e-06,0.900629811056683,3861,,,,,
,,,1.0,4287,39999.3284,1.715,0.107,2.3643600476104033e+18,1.386359508203854
