loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.5153,0.150556743144989,0.0001,0.1000699790062981,429,,,,,
1.4863,0.14558137953281403,9.697998749076916e-05,0.2001399580125962,858,,,,,
1.3917,0.20289891958236694,8.828476898531309e-05,0.3002099370188943,1287,,,,,
1.3487,0.1748739629983902,7.496473122991066e-05,0.4002799160251924,1716,,,,,
1.3219,0.18872304260730743,5.8628941450351584e-05,0.5003498950314905,2145,,,,,
1.3064,0.19174519181251526,4.125077122593324e-05,0.6004198740377886,2574,,,,,
1.3074,0.19242793321609497,2.492951221526705e-05,0.7004898530440867,3003,,,,,
1.2966,0.2467881292104721,1.1636780673497349e-05,0.8005598320503848,3432,,,,,
1.2902,0.2482856810092926,2.9783452221438303e-06,0.900629811056683,3861,,,,,
,,,1.0,4287,32834.5572,2.089,0.131,1.8995314867476623e+18,1.5549068108343538
